                                             name                                first_name              last_name
                               Essa Ismail Rashed                               Essa Ismail                 Rashed
                                Paul Etia Ndoumbè                                 Paul Etia                Ndoumbè
                                 Pua Kele Kealoha                                  Pua Kele                Kealoha
                         Enemri Najem Al-Marghani                              Enemri Najem            Al-Marghani
                                           Saurel                                      None                 Saurel
                               José Romero Santos                               José Romero                 Santos
                            José Horacio Villegas                              José Horacio               Villegas
                         Makayla Gerken Schofield                            Makayla Gerken              Schofield
                                  Gérson de Souza                                 Gérson de                  Souza
                              Iván, Báró Wardener                                Iván, Báró               Wardener
                              Geraldo José Pegado                              Geraldo José                 Pegado
                             Juan Hernández Pérez                            Juan Hernández                  Pérez
                             Tatiane Raquel Silva                            Tatiane Raquel                  Silva
                                  Lars Erik Tirén                                 Lars Erik                  Tirén
                             Robert van der Horst                            Robert van der                  Horst
                                            Eudes                                      None                  Eudes
                              Samir Abdul Shakour                               Samir Abdul                Shakour
                      Gebre Egziabher Gebremariam                           Gebre Egziabher            Gebremariam
                              Juan Torruella, Jr.                           Juan Torruella,                    Jr.
                              Billy Gene Pemelton                                Billy Gene               Pemelton
                                        Franciele                                      None              Franciele
                                 Afonso de Castro                                 Afonso de                 Castro
                         Michael Damgaard Nielsen                          Michael Damgaard                Nielsen
                               Dirk van den Bosch                              Dirk van den                  Bosch
                               Magdy Abou El-Magd                                Magdy Abou                El-Magd
                             Mario Antonio Valles                             Mario Antonio                 Valles
                                          Sodikin                                      None                Sodikin
                          Muhammad Akbar Nasution                            Muhammad Akbar               Nasution
                                        Jacquemin                                      None              Jacquemin
                               Ana Fidelia Quirós                               Ana Fidelia                 Quirós
                              Paul Van Den Abeele                              Paul Van Den                 Abeele
                                         Detroyat                                      None               Detroyat
                               Jacob Tullin Thams                              Jacob Tullin                  Thams
                            Robert van der Vooren                            Robert van der                 Vooren
                                Andrée Dupont Roc                             Andrée Dupont                    Roc
                                    Raul de Senna                                   Raul de                  Senna
                              Joseph Van Muylders                                Joseph Van               Muylders
                                   Maarten de Wit                                Maarten de                    Wit
                              Svein Enok Nørstebø                                Svein Enok               Nørstebø
                               Mohamed Reda Hamad                              Mohamed Reda                  Hamad
                               Carol Ann Blackman                                 Carol Ann               Blackman
                                  Debra Lee Covey                                 Debra Lee                  Covey
                         Morten Nordeide Johansen                           Morten Nordeide               Johansen
                             Denis Gargaud Chanut                             Denis Gargaud                 Chanut
                          Eglys Yahima de la Cruz                        Eglys Yahima de la                   Cruz
                             Juan Carlos Barreras                               Juan Carlos               Barreras
                           Darrelle Valsaint, Jr.                        Darrelle Valsaint,                    Jr.
                     Charles, Count de Westenholz                         Charles, Count de             Westenholz
                            Yohan Goutt Gonçalves                               Yohan Goutt              Gonçalves
                          Daniel Jansen Van Doorn                         Daniel Jansen Van                  Doorn
                                 Jorge Luis Linck                                Jorge Luis                  Linck
                               Hans Petter Jensen                               Hans Petter                 Jensen
                             Jens Erik Roepstorff                                 Jens Erik             Roepstorff
                                  Jaïr Tjon En Fa                              Jaïr Tjon En                     Fa
                              Jean-Louis le Clerc                             Jean-Louis le                  Clerc
                  Édouard, Baron Creuzé de Lesser                  Édouard, Baron Creuzé de                 Lesser
                         Enrique Sieburger Hadler                         Enrique Sieburger                 Hadler
                               Ulisses dos Santos                               Ulisses dos                 Santos
                                   Tjark de Vries                                  Tjark de                  Vries
                            Gustave Van Heymbeeck                               Gustave Van              Heymbeeck
                              Juan Ignacio Maegli                              Juan Ignacio                 Maegli
                                  Rob de Castella                                    Rob de               Castella
                                      E. E. Parry                                     E. E.                  Parry
                                      R. R. Noble                                     R. R.                  Noble
                        Manjula Kumara Wijesekera                            Manjula Kumara             Wijesekera
                                  Saskia de Jonge                                 Saskia de                  Jonge
                              Kinapéya Roméo Koné                            Kinapéya Roméo                   Koné
                                  Cédric De Greve                                 Cédric De                  Greve
                                   Maurice de Wée                                Maurice de                    Wée
                                         Andresse                                      None               Andresse
                             Carlos Alberto Vario                            Carlos Alberto                  Vario
                                            Weber                                      None                  Weber
                                           Chicão                                      None                 Chicão
                                           Sandro                                      None                 Sandro
                                 Shaun Van Rooyen                                 Shaun Van                 Rooyen
                                             Assé                                      None                   Assé
                              Yousuf Othman Qader                             Yousuf Othman                  Qader
                                 Lieve van Kessel                                 Lieve van                 Kessel
            Patricia Galvin de la Tour d'Auvergne                Patricia Galvin de la Tour             d'Auvergne
                               Daniel Elahi Galán                              Daniel Elahi                  Galán
                                 José de la Torre                                José de la                  Torre
                                  César de Cesare                                  César de                 Cesare
                            Chitra Bahadur Gurung                            Chitra Bahadur                 Gurung
                                     Breckinridge                                      None           Breckinridge
                                            Otero                                      None                  Otero
                             Abdel Qader El-Touni                               Abdel Qader               El-Touni
                                             Piot                                      None                   Piot
                                           Branca                                      None                 Branca
                                José Antonio Musi                              José Antonio                   Musi
                                  José Luis Ponce                                 José Luis                  Ponce
                              Erik Sigfrid Enroth                              Erik Sigfrid                 Enroth
                              José de Albuquerque                                   José de            Albuquerque
                                  Loïc de Kergret                                   Loïc de                Kergret
                              Bernabé de Chávarri                                Bernabé de               Chávarri
                                  Châu Phươc Vình                                Châu Phươc                   Vình
                                             Moët                                      None                   Moët
                                Tessa van Schagen                                 Tessa van                Schagen
                            Julien Van Campenhout                                Julien Van             Campenhout
                                José Manuel López                               José Manuel                  López
                                         Erivelto                                      None               Erivelto
                            Arthur Mendes de Leon                          Arthur Mendes de                   Leon
                              Klaas van den Broek                             Klaas van den                  Broek
                          Guillaume Van Tongerloo                             Guillaume Van              Tongerloo
                              Ethel Ward Petersen                                Ethel Ward               Petersen
                                  Alain Choo Choy                                Alain Choo                   Choy
                                Ildikó Sós Zirigh                                Ildikó Sós                 Zirigh
                            Chantal Van Landeghem                               Chantal Van              Landeghem
                                          Vallana                                      None                Vallana
                          Jørgen Leschly Sørensen                            Jørgen Leschly               Sørensen
                                José Carlos Godoy                               José Carlos                  Godoy
                                     Wong Kim Poh                                  Wong Kim                    Poh
                              Jagjeet Singh Kular                             Jagjeet Singh                  Kular
                              Anne Brit Skarstein                                 Anne Brit              Skarstein
                            Alex Christian Benoit                            Alex Christian                 Benoit
                                   Juan del Campo                                  Juan del                  Campo
                            Amy-Cathérine de Bary                          Amy-Cathérine de                   Bary
                            Stephen Shellans, Jr.                         Stephen Shellans,                    Jr.
                                Kishor Rahtna Rai                             Kishor Rahtna                    Rai
                              Juan Ramón Martínez                                Juan Ramón               Martínez
                              Ricardo De Zevallos                                Ricardo De               Zevallos
                                 George Van Cleaf                                George Van                  Cleaf
                     Guillermo Alejandro Calegari                       Guillermo Alejandro               Calegari
                                Pedro del Vecchio                                 Pedro del                Vecchio
                               Farouk Ahmed Sayed                              Farouk Ahmed                  Sayed
                                    Wong Kam Fook                                  Wong Kam                   Fook
                          Mohamed Kheir Tarabulsi                             Mohamed Kheir              Tarabulsi
                                 James J. Connell                                  James J.                Connell
                            Marie Christine Rolet                           Marie Christine                  Rolet
                                       Wu Kin San                                    Wu Kin                    San
                                         Strasser                                      None               Strasser
                               Anouar Abdul Kader                              Anouar Abdul                  Kader
                      Eric, Vicomte De Spoelberch                          Eric, Vicomte De             Spoelberch
                               Horacio de la Vega                             Horacio de la                   Vega
                                          Demilly                                      None                Demilly
                                         Walewska                                      None               Walewska
                              Axel Fredrik Londen                              Axel Fredrik                 Londen
                              Émile Lucien Salkin                              Émile Lucien                 Salkin
                                Juan van Deventer                                  Juan van               Deventer
                                     Kaw Fun Ying                                   Kaw Fun                   Ying
                         Georgi Yordanov Naydenov                           Georgi Yordanov               Naydenov
                                   Hung Chung Yam                                Hung Chung                    Yam
                                   Khin Khin Htwe                                 Khin Khin                   Htwe
                                           Coucou                                      None                 Coucou
                 Maud, Grevinna von Rosen-Engberg                        Maud, Grevinna von          Rosen-Engberg
                                       S. M. Hadi                                     S. M.                   Hadi
                      Patrick Buteux van der Kamp                    Patrick Buteux van der                   Kamp
                          Maurice Guiraud Rivière                           Maurice Guiraud                Rivière
                                    M. G. Khalifa                                     M. G.                Khalifa
                                  Wil van Beveren                                   Wil van                Beveren
                            Arthur Wentworth Gore                          Arthur Wentworth                   Gore
                             Farhang Khosro Panah                            Farhang Khosro                  Panah
                          Suzanne de Sainte-Croix                                Suzanne de           Sainte-Croix
                                    Vũ Bích Hương                                   Vũ Bích                  Hương
                                   Delmo da Silva                                  Delmo da                  Silva
