                                                          born  DoB_year  DoB_month  DoB_day
                                                          1879      1879       <NA>     <NA>
                                                          1884      1884       <NA>     <NA>
                                                          1955      1955       <NA>     <NA>
                                                          1858      1858       <NA>     <NA>
                                                          1943      1943       <NA>     <NA>
                                                          1901      1901       <NA>     <NA>
                                                          1923      1923       <NA>     <NA>
                                                          1914      1914       <NA>     <NA>
                                                          1940      1940       <NA>     <NA>
                                                          1947      1947       <NA>     <NA>
                                                          1877      1877       <NA>     <NA>
                                                          1912      1912       <NA>     <NA>
                                                          1890      1890       <NA>     <NA>
                                                          1901      1901       <NA>     <NA>
                                                          1927      1927       <NA>     <NA>
                                                          1939      1939       <NA>     <NA>
                                                          1917      1917       <NA>     <NA>
                                                          1992      1992       <NA>     <NA>
                                                          1955      1955       <NA>     <NA>
                                                          1917      1917       <NA>     <NA>
                                                          1907      1907       <NA>     <NA>
                                                (1926 or 1927)      1926       <NA>     <NA>
                                                          1874      1874       <NA>     <NA>
                                                          1914      1914       <NA>     <NA>
                                                          1895      1895       <NA>     <NA>
                                                          1888      1888       <NA>     <NA>
                                                  (circa 1936)      1936       <NA>     <NA>
                                                          1905      1905       <NA>     <NA>
                                                          1934      1934       <NA>     <NA>
                                          in Ipoh, Perak (MAS)      <NA>       <NA>     <NA>
                                                          1933      1933       <NA>     <NA>
                                                          1951      1951       <NA>     <NA>
                                                          1877      1877       <NA>     <NA>
                                                (1920 or 1921)      1920       <NA>     <NA>
                                                          1933      1933       <NA>     <NA>
                                                          1918      1918       <NA>     <NA>
                                                          1892      1892       <NA>     <NA>
                                                          1937      1937       <NA>     <NA>
                                                          1963      1963       <NA>     <NA>
                                                          1903      1903       <NA>     <NA>
                                                          1897      1897       <NA>     <NA>
                                                          1901      1901       <NA>     <NA>
                                                          1918      1918       <NA>     <NA>
                                                          1933      1933       <NA>     <NA>
                                                          1879      1879       <NA>     <NA>
                                                          1941      1941       <NA>     <NA>
                                                          1891      1891       <NA>     <NA>
                                                          1968      1968       <NA>     <NA>
                                                          1941      1941       <NA>     <NA>
                                                          1896      1896       <NA>     <NA>
                                                          1913      1913       <NA>     <NA>
                                                          1910      1910       <NA>     <NA>
                                                          1923      1923       <NA>     <NA>
                                                          1927      1927       <NA>     <NA>
                                                          1895      1895       <NA>     <NA>
                                                (1901 or 1902)      1901       <NA>     <NA>
                                                          1905      1905       <NA>     <NA>
                                                          1903      1903       <NA>     <NA>
                                                          1904      1904       <NA>     <NA>
                                                          1923      1923       <NA>     <NA>
                                                          1924      1924       <NA>     <NA>
                                                          1901      1901       <NA>     <NA>
                                                          1967      1967       <NA>     <NA>
                                                          1900      1900       <NA>     <NA>
                                                          1907      1907       <NA>     <NA>
                                                          1931      1931       <NA>     <NA>
                                                          1924      1924       <NA>     <NA>
                                                          1935      1935       <NA>     <NA>
                                                          1925      1925       <NA>     <NA>
                                                          1942      1942       <NA>     <NA>
                                                          1927      1927       <NA>     <NA>
          in Al-Iskanderiya (Alexandria), Al-Iskanderiya (EGY)      <NA>       <NA>     <NA>
                                                          1871      1871       <NA>     <NA>
                                                          1901      1901       <NA>     <NA>
                                                          1902      1902       <NA>     <NA>
                                                          1898      1898       <NA>     <NA>
                                                          1889      1889       <NA>     <NA>
                                                          1893      1893       <NA>     <NA>
                                                          1926      1926       <NA>     <NA>
                                                          1882      1882       <NA>     <NA>
                                                          1931      1931       <NA>     <NA>
                                                          1883      1883       <NA>     <NA>
                          in Rabenstein, Zwiesel, Bayern (GER)      <NA>       <NA>     <NA>
                                                          1885      1885       <NA>     <NA>
                                                          1930      1930       <NA>     <NA>
                                                          1925      1925       <NA>     <NA>
                                                          1908      1908       <NA>     <NA>
                                                          1887      1887       <NA>     <NA>
                                                          1895      1895       <NA>     <NA>
                                                          1920      1920       <NA>     <NA>
                                                          1872      1872       <NA>     <NA>
                                                          1920      1920       <NA>     <NA>
                                                          1923      1923       <NA>     <NA>
                                                          1968      1968       <NA>     <NA>
                                                          1880      1880       <NA>     <NA>
                                                          1886      1886       <NA>     <NA>
                                                          1923      1923       <NA>     <NA>
                                                          1928      1928       <NA>     <NA>
                                                          1901      1901       <NA>     <NA>
                                                          1897      1897       <NA>     <NA>
                                                          1885      1885       <NA>     <NA>
                                                          1926      1926       <NA>     <NA>
                                                          1894      1894       <NA>     <NA>
                                                          1929      1929       <NA>     <NA>
                                                          1866      1866       <NA>     <NA>
                                                          1940      1940       <NA>     <NA>
                                                          1909      1909       <NA>     <NA>
                                                          1945      1945       <NA>     <NA>
                                                          1919      1919       <NA>     <NA>
                                                          1897      1897       <NA>     <NA>
                                                          1889      1889       <NA>     <NA>
                                                          1927      1927       <NA>     <NA>
                                                          1931      1931       <NA>     <NA>
                                                          1961      1961       <NA>     <NA>
                                                          1913      1913       <NA>     <NA>
                                                          1921      1921       <NA>     <NA>
                                                          1929      1929       <NA>     <NA>
                                                          1938      1938       <NA>     <NA>
                                                          1931      1931       <NA>     <NA>
