"country","OlympicMedalsTotal","OlympicMedalsGold","OlympicMedalsSilver","OlympicMedalsBronze","OlympicMedalsYouthTotal"
"India",35,10,9,16,23
"China",713,285,231,197,187
"United States",2985,1183,963,839,96
"Indonesia",37,8,14,15,3
"Pakistan",10,3,3,4,2
"Nigeria",27,3,11,13,8
"Brazil",150,37,42,71,32
"Russia",551,194,169,188,228
"Ethiopia",58,23,12,23,21
"Mexico",72,13,24,35,29
"Japan",575,186,178,211,115
"Philippines",14,1,5,8,1
"Egypt",36,8,10,18,26
"Vietnam",5,1,3,1,9
"Iran",76,24,23,29,25
"Turkey",103,41,26,36,31
"Germany",1083,351,371,361,113
"Thailand",35,10,8,17,26
"Tanzania",2,,2,,
"United Kingdom",965,304,329,332,47
"France",910,272,298,340,89
"South Africa",91,27,34,30,15
"Italy",773,264,238,271,96
"Kenya",113,35,42,36,15
"Colombia",34,5,13,16,19
"South Korea",366,129,121,116,10
"Uganda",11,4,4,3,4
"Sudan",1,,1,,
"Spain",174,49,73,52,34
"Iraq",1,,,1,1
"Algeria",17,5,4,8,5
"Argentina",77,21,26,30,38
"Afghanistan",2,,,2,1
"Poland",329,82,98,149,17
"Canada",551,147,183,221,51
"Morocco",24,7,5,12,
"Ukraine",148,38,38,72,77
"Saudi Arabia",4,,2,2,4
"Uzbekistan",37,11,6,20,29
"Mozambique",2,1,,1,
"Ghana",5,,1,4,1
"Peru",4,1,3,,3
"Malaysia",13,,8,5,
"Ivory Coast",4,1,1,2,
"Venezuela",19,3,7,9,
"Cameroon",6,3,1,2,
"Niger",2,,1,1,1
"Australia",560,168,177,215,73
"North Korea",57,16,17,24,
"Syria",4,1,1,2,
"Taiwan",120,28,46,46,14
"Burkina Faso",1,,,1,
"Sri Lanka",2,,2,,1
"Zambia",2,,1,1,3
"Kazakhstan",79,15,24,40,29
"Chile",13,2,7,4,1
"Romania",309,90,97,122,23
"Ecuador",5,3,2,,6
"Guatemala",1,,1,,1
"Senegal",1,,1,,
"Netherlands",476,151,155,170,1
"Cambodia",,,,,1
"Zimbabwe",8,3,4,1,
"Burundi",2,1,1,,2
"Bolivia",,,,,1
"Tunisia",15,5,3,7,5
"Haiti",2,,1,1,1
"Belgium",174,48,58,68,21
"Dominican Republic",12,3,5,4,5
"Jordan",3,1,1,1,3
"Cuba",235,84,69,82,24
"Honduras",,,,,1
"Sweden",683,214,228,241,43
"Czech Republic",101,29,33,39,34
"Azerbaijan",49,7,14,28,26
"Tajikistan",4,1,1,2,2
"Greece",122,36,45,41,12
"Portugal",28,5,9,14,7
"Hungary",525,184,158,183,66
"United Arab Emirates",2,1,,1,1
"Belarus",105,21,37,47,21
"Israel",13,3,1,9,10
"Togo",1,,,1,
"Austria",352,93,125,134,51
"Switzerland",381,119,131,131,
"Hong Kong",9,2,3,4,8
"Serbia",24,6,7,11,9
"Paraguay",1,,1,,
"Kyrgyzstan",7,,3,4,7
"Bulgaria",230,55,90,85,16
"Turkmenistan",1,,1,,1
"El Salvador",,,,,1
"Singapore",5,1,2,2,
"Denmark",215,48,84,83,11
"Slovakia",42,14,18,10,
"Finland",485,149,151,185,18
"Norway",567,207,187,173,48
"New Zealand",143,55,35,53,17
"Costa Rica",4,1,1,2,
"Lebanon",4,,2,2,1
"Ireland",38,11,11,16,7
"Panama",3,1,,2,
"Kuwait",3,,,3,1
"Croatia",52,18,19,15,11
"Eritrea",1,,,1,3
"Georgia",40,10,12,18,11
"Mongolia",30,2,11,17,
"Uruguay",10,2,2,6,1
"Moldova",6,,2,4,7
"Puerto Rico",10,2,2,6,4
"Bosnia and Herzegovina",,,,,2
"Jamaica",88,26,36,26,7
"Armenia",18,2,8,8,13
"Qatar",8,2,2,4,3
"Botswana",2,,1,1,2
"Lithuania",26,6,7,13,14
"Namibia",5,,5,,
"Gabon",1,,1,,
"Slovenia",52,12,17,23,
"North Macedonia",2,,1,1,1
"Latvia",31,5,14,12,12
"Trinidad and Tobago",19,3,5,11,3
"Bahrain",4,2,2,,2
"Estonia",44,14,11,19,4
"Mauritius",1,,,1,1
"Cyprus",1,,1,,2
"Djibouti",1,,,1,1
"Fiji",3,2,,1,1
"Guyana",1,,,1,3
"Luxembourg",7,3,4,,1
"Suriname",2,1,,1,1
"Montenegro",1,,1,,
"Bahamas",16,8,2,6,3
"Iceland",4,,2,2,2
"Barbados",1,,,1,
"Samoa",1,,1,,
"Saint Lucia",,,,,1
"Grenada",3,1,1,1,1
"Tonga",1,,1,,
"United States Virgin Islands",1,,1,,1
"Andorra",,,,,1
"Bermuda",2,1,,1,
"Liechtenstein",10,2,2,6,1
"Monaco",1,,,1,1
"San Marino",3,,1,2,
"Nauru",,,,,1
"Total",17987,5796,5867,6324,2288
