STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TYPE,Type,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,AS,American Samoa,SILV,Number of silver medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,WS,Samoa,PART,Number of Olympics attended,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,WS,Samoa,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TO,Tonga,BRON,Number of bronze medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TO,Tonga,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,AS,American Samoa,BRON,Number of bronze medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,AS,American Samoa,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,GU,Guam,PART,Number of Olympics attended,SOG,Summer Olympic Games,9,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,GU,Guam,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PW,Palau,GOLD,Number of gold medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PW,Palau,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,PART,Number of Olympics attended,SOG,Summer Olympic Games,10,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TV,Tuvalu,GOLD,Number of gold medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,WS,Samoa,PART,Number of Olympics attended,SOG,Summer Olympic Games,10,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,CK,Cook Islands,SILV,Number of silver medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,CK,Cook Islands,GOLD,Number of gold medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FM,Micronesia (Federated States of),GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PW,Palau,PART,Number of Olympics attended,_T,Total,6,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
